Supercharger,Street Address,City,State,Zip,Country,Stalls,kW,Elevation_m,Open Date,Latitude,Longitude,Registration_Count
"Buellton, CA",555 McMurray Rd,Buellton,CALIFORNIA,93427,USA,10,150.0,114,2013-07-13 00:00:00,34.61456,-120.188387,1256646
"Corning, CA",950 Hwy 99,Corning,CALIFORNIA,96021,USA,6,150.0,87,2013-10-18 00:00:00,39.926454,-122.198393,1256646
"Barstow, CA",2812 Lenwood Rd,Barstow,CALIFORNIA,92311,USA,16,150.0,725,2012-11-19 00:00:00,34.849129,-117.085446,1256646
"Tifton, GA",1310 U.S. 82,Tifton,GEORGIA,31794,USA,8,150.0,92,2014-07-10 00:00:00,31.448847,-83.53221,92368
"Roseville, CA",1151 Galleria Blvd,Roseville,CALIFORNIA,95678,USA,7,150.0,66,2014-04-29 00:00:00,38.771208,-121.266149,1256646
"Oxnard, CA",2751 Park View Ct,Oxnard,CALIFORNIA,93036,USA,20,150.0,24,2014-09-24 00:00:00,34.238654,-119.177398,1256646
"Daytona Beach - Gateway North Dr, FL",2330 Gateway N Dr,Daytona Beach,FLORIDA,32117,USA,12,250.0,7,2022-11-19 00:00:00,29.223265,-81.09972,254878
"Port St. Lucie, FL",1701 NW Peacock Blvd,Port St. Lucie,FLORIDA,34986,USA,16,150.0,8,2013-07-25 00:00:00,27.313023,-80.406688,254878
"Dallas - Park Ln, TX",8080 Park Ln,Dallas,TEXAS,75231,USA,16,250.0,179,2021-11-17 00:00:00,32.867639,-96.767245,230125
"El Centro, CA",3451 S Dogwood Rd,El Centro,CALIFORNIA,92243,USA,12,150.0,-8,2014-12-28 00:00:00,32.760837,-115.532486,1256646
"Rosemont, IL",5220 Fashion Outlets Way,Rosemont,ILLINOIS,60018,USA,10,72.0,194,2018-11-06 00:00:00,41.975091,-87.866501,99573
"Indio, CA",42100 Jackson St,Indio,CALIFORNIA,92203,USA,46,250.0,-3,2014-09-26 00:00:00,33.741484,-116.215019,1256646
"Savannah, GA",400 Airways Ave,Savannah,GEORGIA,31408,USA,8,125.0,6,2014-01-15 00:00:00,32.135507,-81.212767,92368
"Holbrook, AZ",2096 Navajo Blvd,Holbrook,ARIZONA,86025,USA,12,250.0,1596,2014-01-15 00:00:00,34.922962,-110.145558,89798
"Mooresville, NC",125 Center Square Dr,Mooresville,NORTH CAROLINA,28117,USA,12,250.0,260,2021-11-19 00:00:00,35.587472,-80.873,70164
"Buckeye, AZ",416 S Watson Rd,Buckeye,ARIZONA,85326,USA,12,250.0,338,2014-03-20 00:00:00,33.443011,-112.556876,89798
"Atascadero, CA",6950 El Camino Real,Atascadero,CALIFORNIA,93422,USA,8,125.0,262,2013-07-03 00:00:00,35.48656,-120.66633,1256646
"Gila Bend, AZ",826 W Pima St,Gila Bend,ARIZONA,85337,USA,16,250.0,221,2014-05-17 00:00:00,32.943969,-112.733506,89798
"Yuma, AZ",310 N Madison Ave,Yuma,ARIZONA,85364,USA,12,250.0,43,2014-02-04 00:00:00,32.726686,-114.619093,89798
"Greenwich - Northbound, CT",3000 Merritt Pkwy,Greenwich,CONNECTICUT,6830,USA,4,150.0,82,2014-02-12 00:00:00,41.041538,-73.671661,31557
"Milford - Northbound, CT",1 CT Turnpike N,Milford,CONNECTICUT,6460,USA,2,120.0,19,2012-12-16 00:00:00,41.245814,-73.008988,31557
"Port Orange, FL",5302 S Williamson Blvd,Port Orange,FLORIDA,32128,USA,6,150.0,7,2013-09-13 00:00:00,29.108566,-81.034569,254878
"Worthington, MN",1290 Ryan's Rd,Worthington,MINNESOTA,56187,USA,6,120.0,478,2013-12-11 00:00:00,43.63385,-95.595647,37050
"Burlington, NC",1080 Piper Ln,Burlington,NORTH CAROLINA,27215,USA,8,120.0,197,2013-10-16 00:00:00,36.07079,-79.511211,70164
"Spearfish, SD",3275 Old Belle Rd,Spearfish,SOUTH DAKOTA,57783,USA,6,150.0,1077,2017-10-30 00:00:00,44.520607,-103.890924,1675
"Santee, SC",114 Bradford Blvd,Santee,SOUTH CAROLINA,29142,USA,8,150.0,39,2013-12-27 00:00:00,33.485858,-80.475763,20873
